document_name,sentence,label
01-Preface-to-Regional-Strategy-Plan.txt,"REGIONALSTRATEGYPLAN - PREFACE  Whether leisure and recreation facilities in the Region are adequate and in particular whether open spaces such as parks, playgrounds and sports grounds within the Region are or will be adequate to meet the future needs of persons living within the Region and persons coming to the Region for recreational purposes.",
01-Preface-to-Regional-Strategy-Plan.txt, Planning schemes prepared by responsible authorities in the Region whether or not suchschemes areinforce.,
01-Preface-to-Regional-Strategy-Plan.txt, Landuseandpotential landusewithintheRegion.,
01-Preface-to-Regional-Strategy-Plan.txt, Whether any part of the Region should be redeveloped or renewed in order to rectify conditions of bad or unsatisfactory location or layout or unhealthy or obsoletedevelopment.,
01-Preface-to-Regional-Strategy-Plan.txt, Whether the subdivision of any land within the Region should be prohibited regulatedor permittedonlysubject toconditions.,
01-Preface-to-Regional-Strategy-Plan.txt," Any areas or buildings of historical or architectural interest, scientific interest, natural beauty or interest or of any other special significance which should be conservedor enhanced.",
01-Preface-to-Regional-Strategy-Plan.txt, Any other matter which in the opinion of the Authority should be considered in order to ensure that the planning of the Region might proceed in the best interests of theresidents of theRegionandthecommunitygenerally.” The Authority was required to re-investigate the Region between four and six years following the approval of a Regional Strategy Plan.,
01-Preface-to-Regional-Strategy-Plan.txt,"This occurred between 1987 and 1989, and resulted in the preparation and approval of a new Regional Strategy Plan (in theform ofAmendment 29).",
01-Preface-to-Regional-Strategy-Plan.txt,After the approval of the Regional Strategy Plan in 1982 the local sections of planning schemes within the Region have been progressively amended to make them consistent with the Regional Strategy Plan and to implement the policies contained within it.,
01-Preface-to-Regional-Strategy-Plan.txt,The future role of the Regional Strategy Plan is to ensure that there is a regional direction to planning in the Region and to provide a vehicle for implementation of State planning policies.,
01-Preface-to-Regional-Strategy-Plan.txt,On the 14th December 1994 the State Government repealed the Authority’s Act and set in motion a process to wind up the activities of the Authority.,
01-Preface-to-Regional-Strategy-Plan.txt,"As a consequence of the Planning Authorities Repeal Act 1994, the Regional Strategy Plan came under the jurisdiction of the Minister for Planning.",
01-Preface-to-Regional-Strategy-Plan.txt,"New provisions under the Planning and Environment Act 1987will provideanon-goingrolefortheRegional StrategyPlan,as a policy document setting ‘regional’ direction for local sections of planning schemes withintheRegion.",
01-Preface-to-Regional-Strategy-Plan.txt,"1.03 Implementation of the Regional Strategy Plan The Regional Strategy Plan, with the repeal of the Authority’s Act, is now prepared, amendedand administeredunderthePlanningandEnvironment Act.",
01-Preface-to-Regional-Strategy-Plan.txt,Section46Fofthe Planning and Environment Act requires that the Minister must not approve an amendment which is inconsistent with the Regional StrategyPlan.,
01-Preface-to-Regional-Strategy-Plan.txt,PlanningAuthorities 2.,
01-Preface-to-Regional-Strategy-Plan.txt,REGIONALSTRATEGYPLAN - PREFACE carrying out amendments to planning schemes must therefore ensure that the amendments are consistent with and implement the policies of the Regional Strategy Plan.,
01-Preface-to-Regional-Strategy-Plan.txt,Planning for all uses and developments in any policy area must reinforce the primary purposeoftheseareas.,
01-Preface-to-Regional-Strategy-Plan.txt,"Section 46G of the Planning and Environment Act requires that no Government Department, Public Authority, or Council may carry out works or undertakings in the Region which are not in conformity with the Regional Strategy Plan.",
01-Preface-to-Regional-Strategy-Plan.txt,These works and undertakings must conform with the land management policies applying within the relevant policyarea.,
01-Preface-to-Regional-Strategy-Plan.txt,Referalso toPublicLandPolicyAreapolicies.,
01-Preface-to-Regional-Strategy-Plan.txt,"1.05 More Restrictive Controls In the event that special local circumstances require more restrictive land use, development or subdivision management controls, a planning authoritymayincorporate such provisions through amendments to its planning scheme, provided that there is no overall conflict withthepolicies andobjectives oftheRegional StrategyPlan.",
01-Preface-to-Regional-Strategy-Plan.txt,"1.06 Incremental Effects Planning authorities, in preparing amendments to the local sections of planning schemes, must ensure that the incremental effects of individual changes to land uses and developments achieve, or do not prejudice, the primary purposes and policies of the policyareas withinwhichtheyoccur.",
01-Preface-to-Regional-Strategy-Plan.txt,"1.07 Meaning of Words and Terms Words used in the Regional Strategy Plan have their common meaning, unless it is inconsistent with the context within which they are being used or unless they are otherwise defined in the Planning and Environment Act 1987, other relevant legislation orintheplanningschemes applyingintheRegion.",
02-The-Region-and-Its-Future.txt,REGIONALSTRATEGYPLAN - THEREGIONANDITSFUTURE 2.,
02-The-Region-and-Its-Future.txt,"THE REGION AND ITS FUTURE 2.01 Introduction The Regional StrategyPlan has been developed within the context of State policyand in the firm conviction that to retain the special features and character of the Region, active and positive planning is required.",
02-The-Region-and-Its-Future.txt,The Upper Yarra Valley and the Dandenong Ranges areanenvironmental precinct ofhighqualityrequiringsensitivepolicies andplanning.,
02-The-Region-and-Its-Future.txt,"The dynamic nature of the Region's natural systems, and the requirements of the residents and visitors, must be recognised and balanced.",
02-The-Region-and-Its-Future.txt,"This involves the specification of objectives for areas and activities, so that more detailed planning can occur within a framework which is acceptable for the preservation of the Region's natural features, and theenhancement ofthelifestyleofits residents andvisitors.",
02-The-Region-and-Its-Future.txt,"2.02 The importance of the Region The Region covers some 2500 square kilometres, between the eastern fringe of metropolitan Melbourne and the catchment of the Thompson River.",
02-The-Region-and-Its-Future.txt,"The Region is important to Melbourne and Victoria because it provides water, agricultural and forest products, scenic landscapes, plant and animal communities, and an extensive range of recreational and tourism opportunities.",
02-The-Region-and-Its-Future.txt,"ThemajorityoftheRegion's 135,000population valuelivingwithinits scenicandbushlandenvironment.",
02-The-Region-and-Its-Future.txt,"The Region supplies about 80% of Melbourne's domestic water requirements, mostly from closedforest catchments intheupperreaches oftheYarraRiverandits tributaries.",
02-The-Region-and-Its-Future.txt,"The Region is an important area for conservation, not only within a metropolitan, but also within a State and national context, as it contains a great diversity of vegetation types, landforms, land uses, and historic and scenic landscapes.",
02-The-Region-and-Its-Future.txt,"These provide a wide range of habitats for birds, animals and plants (many of which are rare or endangered).",
02-The-Region-and-Its-Future.txt,"Theyalso accommodatesites ofcultural,educational andrecreational value.",
02-The-Region-and-Its-Future.txt,Rural activities in the Region are important in the local and Victoria's economy.,
02-The-Region-and-Its-Future.txt,"The Region accounts for over 30% of total Victorian establishments for nurseries, cut flowers and turf growing.",
02-The-Region-and-Its-Future.txt,"Other products important in the Region’s economy include fruit and vegetables, cattle grazing and dairying.",
02-The-Region-and-Its-Future.txt,"Rural activities which are establishing or expanding include cashmere goat and deer farming, production of exotic fruits such as nashi pears and chinese gooseberries (Kiwi Fruit), and the growing of peaches and nuts.",
02-The-Region-and-Its-Future.txt,An expanding wine industry reflects the historical reputation of the Yarra Valley as an ideal location for cool climate vineyards and wineries.,
02-The-Region-and-Its-Future.txt,The Yarra Valley is quickly gainingrecognitionthroughout Australiaandoverseas forthequalityofits wines.,
02-The-Region-and-Its-Future.txt,The Region is a veryimportant tourist asset for Victoria.,
02-The-Region-and-Its-Future.txt,"More than two millionpeople visit the Region each year, making a considerable contribution to the local and regional economy.",
02-The-Region-and-Its-Future.txt,"This contribution will be significantlyincreased bythesensitiveexpansionof facilities, particularlyfortourist accommodation.",
02-The-Region-and-Its-Future.txt,"REGIONALSTRATEGYPLAN - THEREGIONANDITSFUTURE Finally, the residents of the Region value a lifestyle which comes from living in an area less densely populated than metropolitan Melbourne, from a relationship to natural elements that cannot be easily obtained in the suburbs, from an ability to relate to a community of people at a scale where personal identity is facilitated, and from the opportunitytoenjoytheRegion's uniquecultureandtraditions.",
02-The-Region-and-Its-Future.txt,"This Regional Strategy Plan is directed towards the enhancement of those conditions by which the local communities within the Region can thrive and prosper, and in so doing, fullyenjoythevalueoftheirnatural environment.",
02-The-Region-and-Its-Future.txt,"2.03 State Government Planning Policies for the Region The Victorian Government has formulated a number of strategic policies, some of which have particular relevance to the Region and its future.",
02-The-Region-and-Its-Future.txt,"The Regional Strategy Plan, and the local section of planning schemes that implement it, must have regard to thesepolicies.",
02-The-Region-and-Its-Future.txt,The most relevant Government policyto the Region is the former Statement of Planning Policy No.,
02-The-Region-and-Its-Future.txt,"3 - Upper Yarra Valley & Dandenong Ranges Region, now expressed as StatePlanningPolicyfortheRegion.",
02-The-Region-and-Its-Future.txt,The policy aims to contain urban development to a level compatible with conservation of the Region's rich environmental features and with its high standards of amenity.,
02-The-Region-and-Its-Future.txt,"The Regional Strategy Plan is directed towards defining, in a very positive manner, boundaries and principles upon which containment is to be handled.",
02-The-Region-and-Its-Future.txt,It includes specific policies which deal withthetransitionbetweentheRegionandmetropolitanMelbourne.,
02-The-Region-and-Its-Future.txt,"2.04 Land Conservation Council Recognition must be given to the recommendations of the Land Conservation Council, that have been adopted by Government, particularly in its review of the Melbourne Area, District 2, which covers all areas of Public Land within the Region.",
02-The-Region-and-Its-Future.txt,"The Land Conservation Council recommendations, once adopted by the State Government, will specifytherangeoflanduses forPublicLandwithintheRegion.",
02-The-Region-and-Its-Future.txt,2.05 Pressures faced by the Region The Region is facing increasing pressures from a number of directions.,
02-The-Region-and-Its-Future.txt,There is the pressure resulting from metropolitan Melbourne's urban growth to consume more and more valuable agricultural and environmentally sensitive land for housing and urban infrastructure.,
02-The-Region-and-Its-Future.txt,"There is pressure to maintain the viability of agricultural pursuits, be they intensive cropping,broadscalegrazing,mixedand/orpart-timefarming.",
02-The-Region-and-Its-Future.txt,"There are also economic pressures for the Region to protect itself from external and world market fluctuations, and from government economic policy changes, whilst seeking new opportunities for employment, education, recreation, leisure, artistic and cultural development,andtourism.",
02-The-Region-and-Its-Future.txt,"Finally, there is pressure to maintain and protect the Region's unique and scenic landscape features.",
02-The-Region-and-Its-Future.txt,"Its flora and fauna, soil and water resources are constantly under threat from increasinghumanactivities.",
02-The-Region-and-Its-Future.txt,"REGIONALSTRATEGYPLAN - THEREGIONANDITSFUTURE Whilst change is inevitable, it is important that change is managed in a way that will enhance the Region's desirable features.",
02-The-Region-and-Its-Future.txt,"The challenge is to achieve a balance between protecting its natural environmental values and amenity, and developing a comprehensive economic and social infrastructure to adequately service the current and futureneeds oftheRegion's residents andvisitors.",
02-The-Region-and-Its-Future.txt,This challenge will intensifyin future years as new elements and factors are expected to come into effect.,
02-The-Region-and-Its-Future.txt,"These include such items as an aging of the population, increased leisure time of the workforce, an increase in the environmental awareness of the population, a change in employment patterns and family/household composition, and a need for regions to be more self-reliant as necessary structural changes in the State and national economytakeeffect.",
02-The-Region-and-Its-Future.txt,2.06 Vision for the Future Among the most outstanding features of the Region are the beautyof its landscapes and the intrinsic value of its remnant vegetation.,
02-The-Region-and-Its-Future.txt,The recognition of these assets is onlyone step towards their preservation.,
02-The-Region-and-Its-Future.txt,"In order to protect such valuable resources, certain land uses will remain strictly controlled, and appropriate land management practises will be maintainedtoensurethat theirqualityremains unspoiled.",
02-The-Region-and-Its-Future.txt,"If the Region is to establish itself as a sustainable community in economic, social and environmental terms, a number of directions need to be clarified, programs implemented,andsomeinitiatives undertaken.",
02-The-Region-and-Its-Future.txt,"For the Region to develop a sustainable economy in the short to medium term, support will be given to the establishment, maintenance and growth of new local enterprises, thereby expanding employment opportunities for the Region's workforce, and reducing travellingtimeandcosts forresidents havingtofindsuchopportunities elsewhere.",
02-The-Region-and-Its-Future.txt,New and expanded tourism facilities will also be an important contribution to this objective.,
02-The-Region-and-Its-Future.txt,Opportunities for supporting and expanding (where appropriate) the agricultural baseoftheRegionwill also besupported.,
02-The-Region-and-Its-Future.txt,"As part of an overall economic and social development strategy, the establishment of adequate tertiaryeducation opportunities will be encouraged so as to stop the leakage of secondary school graduates (and hence future skilled workforce) from the Region, and to provide new avenues for the Region's workforce to increase and/or diversify their skills.",
02-The-Region-and-Its-Future.txt,"Government Departments, Public Authorities and community groups will be consulted in order to assess the strategic implications of regional land use planning strategies on the provision of physical, transport and human services, and to assist the adequate and equitabledistributionofsuchservices andresources availabletothe Region's residents.",
02-The-Region-and-Its-Future.txt,"REGIONALSTRATEGYPLAN - THEREGIONANDITSFUTURE Finally, in order to maintain control over the way development impacts on the Region's environment, and to assist the provision of anappropriaterangeofservices andfacilities for the Region's residents, a limit to the size of the Region's urban and other residential areas will be set at a level where no further residential development can take place beyondthat whichis providedforintheRegional StrategyPlan.",
03-Township-Policy-Areas-Policy-Areas.txt, Protect Sites ofNatural Significanceand/orSites ofCultural Significance.,
03-Township-Policy-Areas-Policy-Areas.txt,"3.13 Maintenance of landscape character The landscape character of Township Policy Areas must be maintained and enhanced and all use and development must aim to protect important landscape features or viewpoints, and must consider factors such as site characteristics, views and visibility, vegetation retentionandestablishment,design,siting,siteworks andfireprotection.",
03-Township-Policy-Areas-Policy-Areas.txt,The extent and location of Township Policy Areas (shown as Township A and Township B) are shown on Map Series 1.,
03-Township-Policy-Areas-Policy-Areas.txt," Within these areas development must generally be limited to only one dwelling per lot, except for units for dependent/aged persons or the number of houses would not exceed the density of development allowed through subdivision provisions forthezonewithinwhichthelandis situated.",
03-Township-Policy-Areas-Policy-Areas.txt,"The Region's major populated areas are adjacent to its western boundary, and include Lilydale, the predominantly metropolitan urban areas of Chirnside Park, Mooroolbark and Kilsyth and the residential corridor between Upper Ferntree Gully and Belgrave.",
03-Township-Policy-Areas-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - TOWNSHIPPOLICYAREAS Where substantial new subdivision and development is proposed in existing Township Policy Areas, planning authorities are encouraged to develop and implement a ‘local structureplan’,whichshouldinclude:  the location of major land uses, such as residential areas, commercial centres, schools andmajorareas ofpublicopenspace;  a hierarchy of access ways (for motor vehicles, pedestrians and bicycles) with clear distinctions between each type of access, based on function, physical and environmental characteristics of the area, amenity, safety, convenience and trafficvolumes;  an integrated roading access network linking lots to commercial and community centres, openspace,schools andotherfacilities;  the location of utility services in a manner that recognises the importance of remnant vegetation and other natural features, particularly within road reserves, including the location of shared utility trenches and the undergrounding of all electricity,telephoneandotherservices supplyandreticulation;  lots that have areas and dimensions which take into account the need for a variety of lot sizes, private open space, energy conservation, setbacks from roads, room forlandscaping,andadequatebuildingseparation,and  makingmaximum useofexistingfullyservicedareas.",
03-Township-Policy-Areas-Policy-Areas.txt,3.10 Construction of buildings on lots with steep slopes 11.,
03-Township-Policy-Areas-Policy-Areas.txt,Township PolicyAreas include all land shown in the Yarra Ranges Planning Scheme as beingwithintheUrbanGrowthBoundary.,
03-Township-Policy-Areas-Policy-Areas.txt, Thereshouldbepromotionofgoodtownscapedesign.,
03-Township-Policy-Areas-Policy-Areas.txt,"3.07 Policies for development in Township Policy Areas WithinTownshipPolicyAreas thefollowingdevelopment policies must beapplied:  The privacy, health, safety, amenity and convenience of residents must be assured.",
03-Township-Policy-Areas-Policy-Areas.txt,"For those parts of the Region within the direct influence of the metropolitan area, there are considerations which need to be addressed through policies that reflect that influence.",
03-Township-Policy-Areas-Policy-Areas.txt,"While the rural and public land areas of the Region are often the main attractions for visitors, the township areas generally provide the necessaryinfrastructurefortheirphysical needs, as well as fortheneeds ofresidents.",
03-Township-Policy-Areas-Policy-Areas.txt," Development in those parts of Township Policy Areas that have identified high environmental, landscapeor‘natural’values and/orresidential amenity,orwhich are subject to infrastructure or development constraints (such as excessive 10.",
03-Township-Policy-Areas-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - TOWNSHIPPOLICYAREAS 3.14 Subdivision Policies Subdivision, and the provision of utilityservices and works associated with subdivision, must achieve compatibility with the physical and landscape characteristics of the site/area,andmust becarriedout inamannerwhereby:  Each lot created will contain a development envelope which: wholly contains a slope less than 20%; is not affected by a floodplain management area, and can reasonably and safely be used for controlled and limited development, taking intoaccount therisk oflandinstability.",
03-Township-Policy-Areas-Policy-Areas.txt,"Township Policy Areas 3.03 Regional Goals Theregional goals forTownshipPolicyAreas areto:  maintain and enhance the character and environmental quality of townships, protect sites of significance, and control development where land is subject to environmental constraints orcannot besatisfactorilyserviced;  ensure that planning meets community needs, and to provide opportunities for a varietyoflifestyles;  ensure that urban development is contained within the designated Township PolicyAreas;  ensure that where appropriate the utilisation of existing physical and human services is efficient and that provision of new services is adequate and appropriate.",
03-Township-Policy-Areas-Policy-Areas.txt,"Township policies have been developed to ensure efficient use of the existing infrastructure such as roads, railways, sewerage, water supply systems and human services.",
03-Township-Policy-Areas-Policy-Areas.txt," Each lot created is able to be connected to reticulated sewerage facilities, or where reticulated sewerage is not available, is capable of accommodating a satisfactory method of wastewater treatment and effluent disposal, which will ensure that the effluent can be contained within the curtilage of the lot (in compliance with requirements of the relevant State Environment Protection Policy).",
03-Township-Policy-Areas-Policy-Areas.txt,"TheStrategycontains directions andpolicies that apply anUrbanGrowthBoundarytometropolitanMelbourneandtoanumberofrural townships, includingurbanareas withintheUpperYarraValleyandDandenongRanges region,toprevent theencroachment ofurbandevelopment intoGreenWedgeareas.",
03-Township-Policy-Areas-Policy-Areas.txt, Maintainenvironmental andlandscapequalities andresidential amenity.,
03-Township-Policy-Areas-Policy-Areas.txt, Provide a range of lot sizes which allow for the creation of diverse and interestingtownshipareas andtoimprovehousingchoice.,
03-Township-Policy-Areas-Policy-Areas.txt, Ensure that subdivision is of a scale and in locations which will not generate traffic demands that would lower environmental amenity in the localityor in the Region.,
03-Township-Policy-Areas-Policy-Areas.txt,REGIONALSTRATEGYPLAN - TOWNSHIPPOLICYAREAS  containdevelopment withinidentifiedareas;  ensure that new development in townships is compatible with the special characteristics oftheseareas; and  ensure that any development takes into account environmental and servicing constraints andtheneedtomaintainthequalityoflifeofresidents.,
03-Township-Policy-Areas-Policy-Areas.txt,3.14 Subdivision management for Township Policy Areas - Regional Objectives Theregional objectives forsubdivisionoflandwithinTownshipPolicyAreas areto:  Ensure that all subdivision is compatible with the special features and character oftheTownshipPolicyAreas.,
03-Township-Policy-Areas-Policy-Areas.txt,"In areas not identified as having environmental or infrastructure constraints, provision canbemadeforadiversityofdevelopment,includingamorevariedhousingstock.",
03-Township-Policy-Areas-Policy-Areas.txt,"Other areas may possess a high standard of residential amenity, Sites of Natural or Cultural Significance or be areas with high landscapequalities, substantial remnant treecoverorexcessiveslopes orarefloodprone.",
03-Township-Policy-Areas-Policy-Areas.txt,"Where appropriate, advice should be sought from the National Trust of Australia (Victoria) when assessing proposed uses and developments in""classified""or""recorded""landscapes.",
03-Township-Policy-Areas-Policy-Areas.txt,"Where slopes are over 20% information must be provided to enable the minimisation of soil erosion, the protection or enhancement of landscape character and the avoidance of land instability, and to ensure that access to the building is locatedappropriately.",
03-Township-Policy-Areas-Policy-Areas.txt, Adequately control subdivision of land which is subject to environmental constraints and/orwhichcannot beadequatelyserviced.,
03-Township-Policy-Areas-Policy-Areas.txt,"The Region, however must provide opportunities for the enhancement of living for existing communities, and must ensure that facilities and services are available and appropriate to the nature of the communities and to their location on the fringe of metropolitan Melbourne.",
03-Township-Policy-Areas-Policy-Areas.txt,"3.15 Subdivision in the Puffing Billy Railway Primary Scenic Corridor Subdivision in the Puffing Billy Railway Primary Scenic Corridor must be prohibited except:  to allow for the subdivision of an approved building, as provided for by the SubdivisionAct 1989;  for a resubdivision where no additional lots will be created and there is no increaseinthenumberofhouses that maybeconstructed; or  where the subdivision is in accordance with a restructure program for a Special StudyArea.",
03-Township-Policy-Areas-Policy-Areas.txt,"While many of the characteristics of the area are special, in that they are located in the Upper Yarra ValleyandtheDandenongRanges, thegeneral characteris that ofabuilt environment.",
03-Township-Policy-Areas-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - TOWNSHIPPOLICYAREAS  that social and communitymatters including provision of services are addressed, andthemeans ofdeliveringtheservices areidentified.",
03-Township-Policy-Areas-Policy-Areas.txt,"Melbourne2030Urban Growth Boundary TheStateGovernment’s strategyformetropolitanMelbourne,“Melbourne2030”was releasedonthe8October2002.",
03-Township-Policy-Areas-Policy-Areas.txt,REGIONALSTRATEGYPLAN - TOWNSHIPPOLICYAREAS The construction of a building must generally be confined to land which contains a slope of less than 20%.,
03-Township-Policy-Areas-Policy-Areas.txt,"AlthoughshownontheMaps, thedistinction betweenthesepolicyareas is nolongerappliedintheRegional StrategyPlanpolicies.",
03-Township-Policy-Areas-Policy-Areas.txt,"3.09 Lots suitable for construction of buildings Except as provided for by a Study Area provision, the construction of a building in a TownshipPolicyAreamaybeallowedonanylot,provided:  it is connected to reticulated sewerage or is capable of adequately treating and retainingall domesticwastewaterwithintheboundaries ofthelot; and  that any house or building requiring utility services is able to be provided with such services in a manner that will not have an adverse impact on the environment orlandscapeofthearea.",
03-Township-Policy-Areas-Policy-Areas.txt,"It also stipulates that: ""Any net increase in the total provision for residential development in the Policy Area shall be contained within the aims of this Policy.",
03-Township-Policy-Areas-Policy-Areas.txt," Significant natural features, such as watercourses, fern gullies, rock outcrops and remnant native vegetation, will be protected in the design and development of anysubdivision.",
03-Township-Policy-Areas-Policy-Areas.txt,"The policies will also assist to conserve the Region's natural resources, protect the amenity of the Region's residents and provide opportunities for a variety of lifestyles.",
03-Township-Policy-Areas-Policy-Areas.txt, The subdivision is carried out in a manner which protects residential neighbourhoods from throughorheavyvehiculartraffic.,
03-Township-Policy-Areas-Policy-Areas.txt,"3.17 Expansion of Healesville and Yarra Junction Townships The further expansion of the Healesville and Yarra Junction Townships mayonlyoccur whenit has beendemonstrated:  that thereis aneedforfurtherurbandevelopment intheseareas;  that the expansion areas, and the boundaries of land to be protected, are properly mapped, and that the means by which such protection will be achieved is detailed;  how the management of the ecological integrity of the area, including weed control, fire protection, drainage, and prevention of pollution of watercourses will beachieved;  how the retention of the areas of significant remnant vegetation will beachieved, including establishment of linkages to surrounding areas of vegetation; the establishment of substantial areas of tree canopy over service corridors and roads; and details of the means by which these linkages are to be maintained or achieved;  how all proposed development will be provided with reticulated sewerage and other essential services, such as water, roads, drainage and power (requiring that all electricity and telephone services are provided by the means of underground cables),includingdetails ofthelocation,kind,natureandtimingofsuch;;  how development will be made compatible with the protection and maintenance of the integrity of any Sites of Natural Significance, and of other native vegetation within and adjoining these areas, including the need to control (where necessary)thekeepingofdomesticpets; and 14.",
03-Township-Policy-Areas-Policy-Areas.txt,"3.18 Other policies applying to Township Policy Areas In addition to the policies contained within this chapter, Township Policy Areas may also beaffectedbypolicies applyingto:  PublicLand  Management ofSites ofNatural SignificanceandofNativeVegetation  Management ofSites ofCultural Significance  PuffingBillyRailwayScenicCorridor  FloodplainManagement Areas; Special StudyAreas  HumanServices  Commercial Centres  ManufacturingandIndustry  Extractiveindustry,Mining&Soil Removal  RecreationandTourism  WaterResources  ServiceNetworks  Transport  FireManagement;  ScheduleOne-StatePlanningPolicies fortheRegion  Schedule Five - List of Environmental Weeds for the Upper Yarra Valley & DandenongRanges Region  Schedule Six - Exemptions to the policies or provisions under the Regional StrategyPlan.",
03-Township-Policy-Areas-Policy-Areas.txt,"Any use or development of land within a landscape ""classified"" or ""recorded"" by the National Trust of Australia (Victoria), must be carried out in a manner that is compatible with the protection, maintenance and where possible, enhancement of the landscape character of these areas.",
03-Township-Policy-Areas-Policy-Areas.txt,"TOWNSHIP POLICY AREAS POLICY AREAS 3.01 Regional Overview - Township Policy Areas Townships and urban areas comprise about three percent of the Region's area, although theyhouse most of its residents.",
03-Township-Policy-Areas-Policy-Areas.txt,Township Policy Areas 3.02 Overview These policy areas are clearly urban in character.,
03-Township-Policy-Areas-Policy-Areas.txt,"Within the Upper Yarra Valley and Dandenong Ranges region, the Urban Growth Boundary generally conforms to the Township Policy Areas in the Upper Yarra Valley 8.",
03-Township-Policy-Areas-Policy-Areas.txt,"This maybe achieved byallowing for a range of lot sizes and multi-unit development in appropriate township locations, where township design criteria and housing density provisions can be applied to protect residential amenity and where efficient use of townshipinfrastructurecanbemade.",
03-Township-Policy-Areas-Policy-Areas.txt,"Other residential concentrations occur in separate townships, such as Healesville, Yarra Glen,Woori Yallock,YarraJunction,WarburtonandMonbulk.",
03-Township-Policy-Areas-Policy-Areas.txt,"Parts of the Township Policy Areas have other elements which suggest the need for particular care, to address unique circumstances, such as lack of infrastructure services or environmental limitations to development.",
03-Township-Policy-Areas-Policy-Areas.txt," The provision of electricity, telephone or other telecommunicationlines, forboth reticulation within the area to be subdivided and for the supplyto each lot, must, beunderground,as aconditionofsubdivision.",
03-Township-Policy-Areas-Policy-Areas.txt,"3.05 Regional Objectives Regional objectives forTownshipPolicyAreas areto:  allow a broad range of urban land uses, including residential, industrial, retail, commercial, institutional and public purposes, in larger townships in a manner whichis compatiblewiththeenvironment;  restrict development on land that is subject to environmental constraints and which cannot be satisfactorily serviced, and to ensure that where reticulated sewerage is not available, sites are capable of on-site treatment and disposal of all wastewaters generated;  facilitate the development of strong communities adequately provided with an appropriate range of services in settings conducive to the attainment of quality lifestyles;  allow for the provision of a diversity of residential accommodation in suitable areas andaccordingtoappropriateperformancestandards;  ensureefficient utilisationofexistingreticulatedandcommunityservices;  maintain environmental quality, residential amenity and to promote good townshipdesign; and  protect Sites ofNatural andCultural Significance.",
03-Township-Policy-Areas-Policy-Areas.txt,"3.16 Design of new township and residential areas The design of subdivisions, roads, facilities and utility services in newly developing areas, within Township Policy Areas, must provide for the maintenance of environmental values and must optimise the quality of life, safety and convenience of futureresidents.",
03-Township-Policy-Areas-Policy-Areas.txt,"Many possess a wide range of facilities, infrastructure and community services typical of townships.",
03-Township-Policy-Areas-Policy-Areas.txt,The Regional StrategyPlan specifies that there will be onlylimited township expansion.,
03-Township-Policy-Areas-Policy-Areas.txt," A satisfactory program for the preservation and planting of native vegetation is incorporated in any new subdivision proposal, to ensure that development is not detrimental tothelandscapecharacterofthearea.",
